,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
5644,QENxnvdouB8,UCFK2Nhu53KJjB7-qrS6Rnkw,Aunque esté en el mundo de los “normales” me discapacito constantemente para entender mejor la vida y para ser cada vez más sensible a la diferencia.,[0. 0. 0. ... 0. 0. 0.],aunqu mundo normal discapacito constantement entend mejor vida cada sensibl diferencia,0.0
5645,QENxnvdouB8,UCWTQnVXiwmh1Is-JIvgxMmg,"Muito boa noite prezados,

O meu comentário quanto ao tema é o seguinte:
Para a organização, tem que oferecer aos seus colaboradores um âmbiente com perfeitas condições para que cada um se desenvolva e que não crie impedimento nos resultados, e para aqueles que possuem  alguma deficiencia, devem ser incorporados, independentemente da sua dificiencia, dar espaços para que se desenvolverem e não serem limitados, porque pode o ajudar na sua deficiencia que já é um desafio constante.
Todavia, não importa a dificiencia, o objectivo individual se não superado não consegue-se nos incorporar na equipa, todos os dias devemos ns superar para termos o melhor resultado.",[0. 0. 0. ... 0. 0. 0.],muito noit prezado coment quanto tema seguint organiza oferec seu colaborador mbient perfeita condi cada desenvolva crie impedimento resultado aquel possuem alguma deficiencia devem incorporado independentement dificiencia espa desenvolverem serem limitado pode ajudar deficiencia desafio constant todavia importa dificiencia objectivo individu superado consegu incorporar equipa dia devemo superar termo melhor resultado,0.0
5648,QENxnvdouB8,UCUmBhrCd7gNeOoxEKO3lj_Q,"la esquina sur oriente es palacio de gobierno, la sur poniente es un hotel",[0. 0. 0. ... 0. 0. 0.],esquina orient palacio gobierno ponient hotel,0.0
5649,QENxnvdouB8,UCUmBhrCd7gNeOoxEKO3lj_Q,es donde esta el palacio de gobierdo,[0. 0. 0. ... 0. 0. 0.],palacio gobierdo,0.0
5650,QENxnvdouB8,UCtiXImNroKZ-piNaxV0Izxw,"Entendi que devemos dar oportunidade aos trabalhadores para que melhorem do que contratar um novo, e não ficar concentrado na deficiência do funcionário mas sim, aplicar estratégias de melhoramento.
O que me encantou no vídeo, é que a oportunidade foi dada para toda equipe sem exclusão de nenhum deles. No final o resultado foi ótimo para o bem da organização.",[0. 0. 0. ... 0. 0. 0.],entendi devemo oportunidad trabalhador melhorem contratar novo ficar concentrado defici ncia funcion aplicar estrat gia melhoramento encant oportunidad dada toda equip exclu nenhum dele final resultado timo organiza,0.0
5651,QENxnvdouB8,UCyDhps_-LyDD2hKKZF1i97Q,las  personas con  discapacidad desarrollan  su sentidos y son dedicados ahasta lograr  su rol de igualdad,[0. 0. 0. ... 0. 0. 0.],persona discapacidad desarrollan dedicado ahasta lograr igualdad,0.0
5654,QENxnvdouB8,UCcooz0LkZqf04DYLp4gyMNw,Yo tengo la discapacidad de la obsesión,[0. 0. 0. ... 0. 0. 0.],discapacidad obsesi,0.0
5656,QENxnvdouB8,UC4J2VjJwJ1pyDITpKhS5fBw,"Gracias . Mi hijo recién le certificaron con 35% hoy 21-10-22, luego de casi año y medio .Un largo camino de desilucion y frustración en su experiencia  ilaboral sin el certificado.Aplico a empresas de Handling en Arpto previo curso y de su grupo FUE SOLO EL  a quien  no le renovaron.Ni oportunidad de  saber  motivos  de alguna dificultad posible hecha en su trabajo,  para mejorar en tal caso, pues era primera vez  su experiencia en el area.Cabe alli Discriminación Indirecta?GroundforceGlobalia.Hace 6 meses aplico a Ww otra empresa e igual ,,SE REPITE  el único A QUIEN  no renovan ni queda fijo. Mientras que  OTROS del mismo grupo de ingreso y sin tener PCP de AENA  si renovaron  Y fijos.En ese tuvo unos retardos involuntarios penalizaron con dos dias de suspensión y  lo acepto pero ya contrato hasta el sab 29 sin renovar .En el dia de hoy ante solicitud de  información de su fecha de pago finiquito ,mostro el C de Discapacidad    un  personal de rrhh  solicito para copia sin decir MOTIVO Y  USO .Este hermetismo se presta para intuir que la discriminación es evidente y es parte  de exclusión a P CON DISCAPACIDAD. Si me  ofrece su apreciación de este caso ? España referente en atención de P con Discapacidad, tambien excluyen y discriminan?",[0. 0. 0. ... 0. 0. 0.],gracia hijo reci certificaron luego casi medio largo camino desilucion frustraci experiencia ilabor certificado aplico empresa handl arpto previo curso grupo solo renovaron oportunidad saber motivo alguna dificultad posibl hecha trabajo mejorar caso pue primera experiencia area cabe alli discriminaci indirecta groundforceglobalia hace mese aplico empresa igual repit nico renovan queda fijo mientra mismo grupo ingreso tener aena renovaron fijo retardo involuntario penalizaron dia suspensi acepto contrato renovar solicitud informaci fecha pago finiquito mostro discapacidad person rrhh solicito copia decir motivo hermetismo presta intuir discriminaci evident part exclusi discapacidad ofrec apreciaci caso espa referent atenc discapacidad tambien excluyen discriminan,0.0
5657,QENxnvdouB8,UCTIyFOzQw8b4DHJXLatLMMw,Hola buenas tardes soy una persona que tiene una discapacidad hago videos para YouTube,[0. 0. 0. ... 0. 0. 0.],hola buena tard persona discapacidad hago video youtub,0.0
5658,QENxnvdouB8,UCS8-qr5L7ajc1MmvNkFpF7Q,"Me parece una excelente opción, la palabra discapacitados no me  gusta ya que las personas que tienen una que otra limitación física, pueden tener mucho mas capacidades que muchas personas en el ámbito laboral, no hay que tener limitaciones y ya es hora que dejemos los prejuicios atras. me gusto mucho el video",[0. 0. 0. ... 0. 0. 0.],parec excelent opci palabra discapacitado gusta persona limitaci sica pueden tener capacidad mucha persona mbito labor tener limitacion hora dejemo prejuicio atra gusto video,0.0
5659,QENxnvdouB8,UCztZMC_upMKnzR6k1CAG3SA,"Es una lucha con la sociedad pero siempre hayas bellos corazones q te dan apoyo, amistad y amor del bueno
👇❤
https://youtu.be/7xFTJAFll8Y",[0. 0. 0. ... 0. 0. 0.],lucha sociedad siempr bello corazon apoyo amistad amor bueno http youtu xftjafll,0.0
5662,ut9ITixue1o,UCu61cLfhtyq8imyOaCHRrbQ,"Pilar de la Torre, eres una genia. 
Yo tenía un problema con la habitación desordenada de mi hijo, pero a través de tú sistema, y confiando en el proceso que aunque lento es efectivo, nos ha llevado a encuentros que han convertido el conflicto en oportunidades de acercamiento en lugar de distanciamiento. 
La habitación que aunque sigue desordenada,  nos ha llevado a estar más unidos. 
Gracias genia.",[0. 0. 0. ... 0. 0. 0.],pilar torr genia problema habitaci desordenada hijo trav sistema confiando proceso aunqu lento efectivo llevado encuentro convertido conflicto oportunidad acercamiento lugar distanciamiento habitaci aunqu sigu desordenada llevado unido gracia genia,0.0
5664,Ci9bMSUTqdg,UCGbofRROopWrumVob5w61OA,¿Cuál fue tu momento favorito? Déjanos tu respuesta en los comentarios,[0. 0. 0. ... 0. 0. 0.],momento favorito jano respuesta comentario,0.0
5666,Ci9bMSUTqdg,UCHz1tokgKofwOdYFLBMvOEg,12:43 la mejor parte,[0. 0. 0. ... 0. 0. 0.],mejor part,0.0
5667,Ci9bMSUTqdg,UC5jPgsjw__V1BqdmOglkDiw,Eso llamas AMOR loca,[0. 0. 0. ... 0. 0. 0.],llama amor loca,0.0
5670,Ci9bMSUTqdg,UCK1AvbP5mIeqfOwilnSaSOQ,Likeeeee,[0. 0. 0. ... 0. 0. 0.],likeeee,0.0
5671,Ci9bMSUTqdg,UCK1AvbP5mIeqfOwilnSaSOQ,Te quiero mucho❤❤❤❤❤❤,[0. 0. 0. ... 0. 0. 0.],quiero,0.0
5675,Ci9bMSUTqdg,UCxj3x3-Erdnvq1E42bjCWmQ,Tu voz es magistral🎉🎉🎉.,[0. 0. 0. ... 0. 0. 0.],magistr,0.0
5676,Ci9bMSUTqdg,UCrSawxjYMrdnNHqi_LwJDWg,Pobre. El joven luego luego se ve  el carácter de esa mujer esa mujer. Si es capaz de matar,[0. 0. 0. ... 0. 0. 0.],pobr joven luego luego cter mujer mujer capaz matar,0.0
5678,Ci9bMSUTqdg,UCDpZQVUAF4KMoM3yZjWqQOQ,"Una persona celosa es muy peligrosa porque los  celos  ponen las personas locas , y de la manera como habla  si una relación no te tiene contenta pues se separan y se acabó.",[0. 0. 0. ... 0. 0. 0.],persona celosa peligrosa celo ponen persona loca manera habla relaci contenta pue separan acab,0.0
5680,Ci9bMSUTqdg,UCvId4UIqS9kZI7Mt-l8G3xQ,17:28 la cara de la doctora 🤣🤣🤣🤣🤣🤣🤣🤣,[0. 0. 0. ... 0. 0. 0.],cara doctora,0.0
5682,Ci9bMSUTqdg,UCUjZpErJjcMqY0uBMaxOOBA,Quiero saber el collar ajeno se lo devolvieron??,[0. 0. 0. ... 0. 0. 0.],quiero saber collar ajeno devolvieron,0.0
5684,IJNZvDT0HQM,UCJ9Vfz0k35EMtdAKlpeAF8w,"La definición de cultura es de las más complejas que hay. Si entre antropólogos no se ponen de acuerdo, imagínate entre filósofos...",[0. 0. 0. ... 0. 0. 0.],definici cultura compleja antrop logo ponen acuerdo imag nate sofo,0.0
5685,IJNZvDT0HQM,UC4j4zpHHW5N4na1p2yXYYGg,"Eres Alberto, de Paleopolitica y cultura?",[0. 0. 0. ... 0. 0. 0.],alberto paleopolitica cultura,0.0
5688,IJNZvDT0HQM,UCVz3d4a6Dy7CyuJ27xwsUWg,"Es clave lo de que la naturaleza y la cultura no son cosas distintas, eso sustancialmente lo explica todo",[0. 0. 0. ... 0. 0. 0.],clave naturaleza cultura cosa distinta sustancialment explica,0.0
5692,IJNZvDT0HQM,UC6LEEasbKduATPiDIQGAR9w,Habla bien,[0. 0. 0. ... 0. 0. 0.],habla bien,0.0
5694,IJNZvDT0HQM,UCL_WehvRJhf-_uLht7l4CZQ,"Eso qe se lo pregunten a todas esas mujeres qe renunciaron a sus sueños para fregar y cuidar de la descendencia. Y el castellano omite el género femenino y es un problema ya qe pensamiento y  lenguaje están relacionados. Los jóvenes y las jovenas, puedes decir también los y las jóvenes no pasa nada. Los ingleses no tienen ese problema",[0. 0. 0. ... 0. 0. 0.],pregunten toda mujer renunciaron fregar cuidar descendencia castellano omit nero femenino problema pensamiento lenguaj relacionado vene jovena pued decir tambi vene pasa ingles problema,0.0
5695,IJNZvDT0HQM,UC3LpGfFt4Fpm1j0XIef4niA,"Poco se esperaba Bueno que 30 años después, echarían de menos a Lidia Falcó y su feminismo, y no la letrina en la que se ha convertido.",[0. 0. 0. ... 0. 0. 0.],esperaba bueno despu echar meno lidia falc feminismo letrina convertido,0.0
5699,IJNZvDT0HQM,UCS7UpmQmmeFccmCeP35bpFg,"Genial corrección,y totalmente deacuerdo.Si durante el café,le dices a una mujer que la biología ,la ciencia,etc demuestra ciertas cosas naturales,ya te llaman machista,jajaja...Bueno,y si dices otra cosa que no va en la línea eres un facha,...y así...No confundamos discurso con realidad.En este caso,el discurso es un disparate.",[0. 0. 0. ... 0. 0. 0.],genial correcci totalment deacuerdo dice mujer biolog ciencia demuestra cierta cosa natural llaman machista jajaja bueno dice cosa facha confundamo discurso realidad caso discurso dispar,0.0
5700,IJNZvDT0HQM,UC90CJPNnvGp8Ch-Fr1H0P9A,EMINENCIA,[0. 0. 0. ... 0. 0. 0.],eminencia,0.0
5701,IJNZvDT0HQM,UCuT4oil4DPFYHzn72xZiOrQ,Pues ahora tienen un ministerio de 1984 ¡Algún psiquiatra o psiquiatro en la sala!,[0. 0. 0. ... 0. 0. 0.],pue ahora ministerio psiquiatra psiquiatro sala,0.0
5702,IJNZvDT0HQM,UC1UtoGr44rz1aohaKHWOAyQ,Este señor era un genio.,[0. 0. 0. ... 0. 0. 0.],genio,0.0
5707,7eeVEhKt7rM,UCGSb3e8ezKcRiBChgeXod1A,"Muy bonita canción hace 4 años tuve un Derrame Cerebral con ruptura de 2 Aneurismas fue grave tuve un cirugía de 8 hr, estoy bien sin secuelas
Luego al año siguiente en enero el mismo mes, vino el cáncer de mama etapa 3, me dieron 16 químios, 25 radio terapias, ahora estoy en remisión hace 4 años, tomo Anastrozol quimio en pastilla, me falta un año más, soy positiva, valoro todo y a todos, disfruto mi vida cada instante, se puede... Saludos",[0. 0. 0. ... 0. 0. 0.],bonita canci hace derram cerebr ruptura aneurisma grave cirug bien secuela luego siguient enero mismo vino ncer mama etapa dieron mio radio terapia ahora remisi hace tomo anastrozol quimio pastilla falta positiva valoro disfruto vida cada instant pued saludo,0.0
5709,7eeVEhKt7rM,UCN5QzIzvpA7Vs7OHymabDOg,💜💜💜💜💜💜 para las mujeres valientes que no se rinden ante nada y siguen adelante. Linda canción Vanesa. Comparto para que todas sus reproducciones ayuden,[0. 0. 0. ... 0. 0. 0.],mujer valient rinden siguen adelant linda canci vanesa comparto toda reproduccion ayuden,0.0
5713,7eeVEhKt7rM,UCshPTo15po5mcqJ8BWsv_4A,"A todas las que estamos batallando esta enfermad a mí  me operaron el 22 marzo cojido a tiempo gracias a las revisiones,  cada vez que vas a las revisiones es un calvario está semana eco y vuelven a encontrar bultito pero hay estoy 💪 y deseando que todo salga bien.
REVISIONES es súper importante  no dejarlo por miedo ,te puede salvar la vida👍",[0. 0. 0. ... 0. 0. 0.],toda batallando enfermad operaron marzo cojido tiempo gracia revision cada revision calvario semana vuelven encontrar bultito deseando salga bien revision important dejarlo miedo pued salvar vida,0.0
5718,7eeVEhKt7rM,UCH2AZnOdQOVB_YLEkcgeHkA,"Ánimo chicas, todas estamos en el mismo barco. 🥰❤❤",[0. 0. 0. ... 0. 0. 0.],nimo chica toda mismo barco,0.0
5720,7eeVEhKt7rM,UC0yBrtrmYpzNqqJ74mZMw0w,"Después de una doble batalla de cancermama, hace 12 años, sigo firme en la vida real. Bendiciones para la gente bonita que no sale corriendo y abandona a quien pasa por este camino. Las personas que siguen ahí amando y llenando sus vidas de amor.",[0. 0. 0. ... 0. 0. 0.],despu dobl batalla cancermama hace sigo firm vida real bendicion gent bonita sale corriendo abandona pasa camino persona siguen amando llenando vida amor,0.0
5724,V1wKXCHwzV0,UCYsu6c9Tt93JlsjqZQUU0DQ,Que bonito 😢😌,[0. 0. 0. ... 0. 0. 0.],bonito,0.0
5725,NVGNfMPxYN0,UCTHpa6hgKQ7GuWxNo4G0m8w,Gracias muy buena,[0. 0. 0. ... 0. 0. 0.],gracia buena,0.0
5726,NVGNfMPxYN0,UCrK3TXD3wRW3Valva0MIPfw,3 monedas,[0. 0. 0. ... 0. 0. 0.],moneda,0.0
5727,NVGNfMPxYN0,UCPnID55LTu7iKjiK2ReZLrA,sandra cires yono te conocia asi,[0. 0. 0. ... 0. 0. 0.],sandra cire yono conocia,0.0
5729,NVGNfMPxYN0,UCVgITB5VdO-QKv0BAKZUknA,hola cómo harías un informe de Camilo torres Restrepo,[0. 0. 0. ... 0. 0. 0.],hola inform camilo torr restrepo,0.0
5731,NVGNfMPxYN0,UC021MXsRVZmKSj2ldM_8NnA,muchas gracias 😊,[0. 0. 0. ... 0. 0. 0.],mucha gracia,0.0
5732,NVGNfMPxYN0,UCejZVww5clI8BfeQDiN8mQg,No entendí ni vrg,[0. 0. 0. ... 0. 0. 0.],entend,0.0
5734,NVGNfMPxYN0,UCWmHUdZDwPWusM8ZyD693cQ,grasias❤,[0. 0. 0. ... 0. 0. 0.],grasia,0.0
5738,NVGNfMPxYN0,UCyRtum6iRzQ5p-_II06IGkA,Veo este video porque mis conclusiones más parecen introducciones xD,[0. 0. 0. ... 0. 0. 0.],video conclusion parecen introduccion,0.0
5739,NVGNfMPxYN0,UCqVc2pQWScRdCHL4fKXWKmQ,Gracias,[0. 0. 0. ... 0. 0. 0.],gracia,0.0
5740,NVGNfMPxYN0,UCNg6Q8VIEkZKmwiEdO0OmLQ,Bueno❤❤❤❤❤❤❤❤❤😊,[0. 0. 0. ... 0. 0. 0.],bueno,0.0
5741,NVGNfMPxYN0,UCjeJuvaFiQvRxSTw2CGvmUg,Gracias saque 10,[0. 0. 0. ... 0. 0. 0.],gracia saqu,0.0
5742,NVGNfMPxYN0,UCk1Z6Uoz1U5R3BBN_kL4uIA,No entendi😢😢😢,[0. 0. 0. ... 0. 0. 0.],entendi,0.0
5743,NVGNfMPxYN0,UCEXVL3oVR1MWPC_LuhSVRvA,"Muchas gracias, aprendí como hacer mi propia conclusión para mis trabajos🙂",[0. 0. 0. ... 0. 0. 0.],mucha gracia aprend hacer propia conclusi trabajo,0.0
5744,NVGNfMPxYN0,UCtHKuwnZnsg76gTAhki2w9w,Dame solución no problemas solo dices como no se hace,[0. 0. 0. ... 0. 0. 0.],dame soluci problema solo dice hace,0.0
5747,wxUs5SuWUYs,UCXQQoI6NoS3FovY-TCVsbAQ,buscate un laburo.honesto,[0. 0. 0. ... 0. 0. 0.],buscat laburo honesto,0.0
5750,HsXj21nw9zg,UCF8wDMavjLJvaa53-AY8T6w,"Yo no apoyo ni izquierda ni derecha, simplemente veo que hacen, como fue su trayecoría, me da igual que sea izquierda o derecha, me fijo que hizo y que hará y de ahí veo.",[0. 0. 0. ... 0. 0. 0.],apoyo izquierda derecha simplement hacen trayecor igual izquierda derecha fijo hizo,0.0
5751,HsXj21nw9zg,UCAUKJnhAqryfmSX32BSYrXA,TRANQUILO SEÑOR Y SEÑORA ME FIJO QUE PIENSA QUE EL RAP LE HACE MAL A SU HIJO 🗣️🗣️🗣️🗣️‼️🗣️🗣️🗣️🗣️🗣️‼️‼️‼️🗣️🗣️🗣️‼️,[0. 0. 0. ... 0. 0. 0.],tranquilo fijo piensa hace hijo,0.0
5752,HsXj21nw9zg,UC559emOcTt6H7fa-QHmEMtA,"Hola tu como puedes opinar de lo que sucede o sucedio en chile, Colombia y Venezuela no con tan solo ver noticias puedes opinar tu no has pasado por nada de lo que paso en chile, Colombia ni Venezuela",[0. 0. 0. ... 0. 0. 0.],hola pued opinar suced sucedio chile colombia venezuela solo noticia pued opinar pasado paso chile colombia venezuela,0.0
5753,HsXj21nw9zg,UCDj41UWLqAthVZyim4IKjPQ,"Este señor necesita se el presidente de España  🗿🍷


porque si es cierto todo lo que dice",[0. 0. 0. ... 0. 0. 0.],necesita president espa cierto dice,0.0
5756,HsXj21nw9zg,UCE00oNgPiu-2he2DL4wwFmw,Fuera de joda está buena,[0. 0. 0. ... 0. 0. 0.],joda buena,0.0
5758,HsXj21nw9zg,UCwjvKW9VOWofolvM-cRl_Fw,"Este wey hizo lo parecido a el cancerbero, pero con más estilo...",[0. 0. 0. ... 0. 0. 0.],hizo parecido cancerbero estilo,0.0
5761,HsXj21nw9zg,UCqLyjkLPIUaB7PpnlzT9z6Q,TRANQUILO SEÑOR Y SEÑORA ME FIJO 🗣🗣🗣🗣,[0. 0. 0. ... 0. 0. 0.],tranquilo fijo,0.0
5763,HsXj21nw9zg,UC25PBAd6dj_TSAIHSP-XkSw,VOX es lo mejor que le podria pasar a españa,[0. 0. 0. ... 0. 0. 0.],mejor podria pasar espa,0.0
5764,HsXj21nw9zg,UCraTfCKTECi-b8hO6Ux2bbA,Cuanta razón tienes,[0. 0. 0. ... 0. 0. 0.],cuanta,0.0
5765,HsXj21nw9zg,UCSoS88LN-UZpFw78tKiSyTg,Parece el mismo punto de vista de milei,[0. 0. 0. ... 0. 0. 0.],parec mismo punto vista milei,0.0
5767,HsXj21nw9zg,UC2uAzKNKLC_nFeK80m3CNoQ,Esto es supremo 👊🏻🖤,[0. 0. 0. ... 0. 0. 0.],supremo,0.0
5768,HsXj21nw9zg,UC5kIuZmx1BTgnJN8g2y5oBA,Dices más verdades que yo.😅,[0. 0. 0. ... 0. 0. 0.],dice verdad,0.0
5770,T7sK9Ps7f3Q,UC40IIAb1Uavayma0bv0Q7_g,"gracias por tu interes en explicarnos las diferencias, me ha quedado claro algunos conceptos que los tenia dudoso",[0. 0. 0. ... 0. 0. 0.],gracia inter explicarno diferencia quedado claro concepto tenia dudoso,0.0
5772,T7sK9Ps7f3Q,UC_OXKcOfpgSXC6TjUQvux6A,Gracias Crack!,[0. 0. 0. ... 0. 0. 0.],gracia crack,0.0
5773,T7sK9Ps7f3Q,UCFACs7u1tlVO8TU5G1UKypw,"Comentas que tienes otro vídeo sobre Igualdad, o quizás sobre ley 1/2004 28 dic Violencia de Género? no lo encuentro. Tu abuela seguro que está contenta con el degradado en el pelo que te has hecho. Ese pelo es de todo un máster de opositores 👍💪",[0. 0. 0. ... 0. 0. 0.],comenta igualdad quiz violencia nero encuentro abuela seguro contenta degradado pelo hecho pelo ster opositor,0.0
5774,T7sK9Ps7f3Q,UCMXRFhMClz343cIOMhbM53A,Gracias! :D,[0. 0. 0. ... 0. 0. 0.],gracia,0.0
5775,T7sK9Ps7f3Q,UCywI7cii1xOqlsTUzrYd66Q,De verdad crees q hay acoso sexual contra hombres? Porque yo lo he visto y los tíos encantados y presumiendo de ello,[0. 0. 0. ... 0. 0. 0.],verdad cree acoso sexual hombr visto encantado presumiendo ello,0.0
5779,T7sK9Ps7f3Q,UCYO1CZ0rhkn6Ie9SEwcGy9A,me toca repasar esta ley y es genial que aún esté por aquí el vídeo.quisiera preguntarte ¿no ha sufrido ninguna modificación esta ley verdad a fecha de hoy? Gracias.,[0. 0. 0. ... 0. 0. 0.],toca repasar genial quisiera preguntart sufrido ninguna modificaci verdad fecha gracia,0.0
5782,T7sK9Ps7f3Q,UChSkgHDR1RkTDTsB21u1WjA,Gracias mil. Muy clarito,[0. 0. 0. ... 0. 0. 0.],gracia clarito,0.0
5786,T7sK9Ps7f3Q,UCxWkAqcergCzjaT48rMb9Mw,Gracias Manuel !!,[0. 0. 0. ... 0. 0. 0.],gracia manuel,0.0
5787,T7sK9Ps7f3Q,UC6E2ylCQl7NrwR0hUpGhsTg,Muy buen vídeo!!!👏👏👏,[0. 0. 0. ... 0. 0. 0.],buen,0.0
5790,UYmdW8faqho,UCjOFeDIaCA6Vncw6dB9Rirg,Buen vídeo,[0. 0. 0. ... 0. 0. 0.],buen,0.0
5791,Wg5kaf5uaSg,UC_TiwEdnoyC0v3MewcX_iXA,Dios mío q territorio,[0. 0. 0. ... 0. 0. 0.],dio territorio,0.0
5792,Wg5kaf5uaSg,UCGq6t_qt7izS-CucEYNT4Mw,Salvajes,[0. 0. 0. ... 0. 0. 0.],salvaj,0.0
5794,Wg5kaf5uaSg,UCZdgUa-EByW-jDlCoZuyEXg,Y si fuera un perrito también tienen derechos,[0. 0. 0. ... 0. 0. 0.],perrito tambi derecho,0.0
5796,Wg5kaf5uaSg,UCb16sKNgpzRDeNa6Ib0rxHA,Que llegue a la calcer le pasara lo mismo,[0. 0. 0. ... 0. 0. 0.],llegu calcer pasara mismo,0.0
5797,Wg5kaf5uaSg,UCb16sKNgpzRDeNa6Ib0rxHA,Lo estan esperndo en la calcer,[0. 0. 0. ... 0. 0. 0.],estan esperndo calcer,0.0
5800,Wg5kaf5uaSg,UCr_Gk4x597_bKY7Yjsu5HKA,A darles material para hacer justicia,[0. 0. 0. ... 0. 0. 0.],darl materi hacer justicia,0.0
5804,Wg5kaf5uaSg,UC6HRtR9mqJTF9vXn2s4GKsQ,No au fatai aci al q acele los .imo,[0. 0. 0. ... 0. 0. 0.],fatai acel,0.0
5805,Wg5kaf5uaSg,UChwRNib7XPTdZUCFBUPbLfw,La primera que deben arrestar a ella. Por que ella fue la que inició todo esa buena asarosa.,[0. 0. 0. ... 0. 0. 0.],primera deben arrestar inici buena asarosa,0.0
5808,Wg5kaf5uaSg,UCob2xa79MFTXkFOQM1VSPZQ,Quemándos vivos mi amigo,[0. 0. 0. ... 0. 0. 0.],quem ndo vivo amigo,0.0
5809,Wg5kaf5uaSg,UCqPcm6T8wjSKpu_XSLXnb0A,Paque esperas ala justisia dale mate deunabes,[0. 0. 0. ... 0. 0. 0.],paqu espera justisia dale mate deunab,0.0
5811,b5o9M6gU6ng,UCwkju2Ux2uZEruYuNps_JqA,decían que no podía gustarme casi cerrado por tener 14 años🤣,[0. 0. 0. ... 0. 0. 0.],gustarm casi cerrado tener,0.0
5813,b5o9M6gU6ng,UCMc31ks6Bw_M6jtnSkXP4ew,pero señora cayese que estaba hablando y respeté ala polo,[0. 0. 0. ... 0. 0. 0.],cayes hablando respet polo,0.0
5814,b5o9M6gU6ng,UCzBJKHg1AphNYYgRPBPlnVg,Las hermanas gigantes q crueles,[0. 0. 0. ... 0. 0. 0.],hermana gigant cruel,0.0
5815,b5o9M6gU6ng,UCzBJKHg1AphNYYgRPBPlnVg,Las hermanas gigantes q crueles,[0. 0. 0. ... 0. 0. 0.],hermana gigant cruel,0.0
5816,b5o9M6gU6ng,UClfQ1u6YMpc-NrG7KOq_orw,👇Aqui los de cuba nadie😢??,[0. 0. 0. ... 0. 0. 0.],aqui cuba nadi,0.0
5817,b5o9M6gU6ng,UCsi9ZlLni-9-6wcyczIQzuw,Que gordas son,[0. 0. 0. ... 0. 0. 0.],gorda,0.0
5818,b5o9M6gU6ng,UCNM9a_7xGZnVwY2LApw7Mxg,T amo doctora polo,[0. 0. 0. ... 0. 0. 0.],doctora polo,0.0
5819,b5o9M6gU6ng,UCyc7dgP1RZxnza3ALzvZ2Lg,caso cerrado es cine 😎,[0. 0. 0. ... 0. 0. 0.],caso cerrado cine,0.0
5820,b5o9M6gU6ng,UClWZgSD63sbYH9i6j7_fvBw,Holaa! Y perdon por la molestia pero alguien me podría decir que dijo lazara en el minuto 29:13 ?,[0. 0. 0. ... 0. 0. 0.],holaa perdon molestia alguien podr decir dijo lazara minuto,0.0
5821,b5o9M6gU6ng,UC-OzEgBo37uUO3wO3zeXu3A,26:46 no mame doctora xddd,[0. 0. 0. ... 0. 0. 0.],mame doctora xddd,0.0
5822,b5o9M6gU6ng,UC-6DzbrNo_C1w_H7KJYmwtQ,Creo que tiene más traumas que yo de chico cuando tenía que comer cosas que no quería jaja,[0. 0. 0. ... 0. 0. 0.],creo trauma chico comer cosa quer jaja,0.0
5824,b5o9M6gU6ng,UCbIEa816poiU6Txc7dh5YoA,No entendí cuando la chiquita(hermana de 11 años) hablaba en inglés,[0. 0. 0. ... 0. 0. 0.],entend chiquita hermana hablaba ingl,0.0
5826,b5o9M6gU6ng,UCQNgnxXyiWyZM4Nx4uaRSMg,me encantoooooo,[0. 0. 0. ... 0. 0. 0.],encantoooooo,0.0
5829,b5o9M6gU6ng,UCZBz4yNtLosA8YAREEL6h5Q,solo quería que la doctora polo le de en la cabeza con el martillo a la zuma,[0. 0. 0. ... 0. 0. 0.],solo quer doctora polo cabeza martillo zuma,0.0
5830,b5o9M6gU6ng,UCiTL1PxJaLLo5Svpi3bAcrA,Para mi yo no contenía la ira es lo que yo pienso,[0. 0. 0. ... 0. 0. 0.],conten pienso,0.0
5831,rGrcQ7fQ5l8,UCCpn4ZjT1ky7lTS3r6X3i5Q,"Gracias me sirvira de mucho, se ve facilisimo 🎉😊",[0. 0. 0. ... 0. 0. 0.],gracia sirvira facilisimo,0.0
5833,rGrcQ7fQ5l8,UCSTvmjNMrZYDyKS_BKZ-g8A,Orita estoy en clase xd,[0. 0. 0. ... 0. 0. 0.],orita clase,0.0
5834,rGrcQ7fQ5l8,UCRgi_XSRObYVNJuDhQDWDwA,MI MAESTRA LO PUSO DE EJEMPLO AKJSKAJKS,[0. 0. 0. ... 0. 0. 0.],maestra puso ejemplo akjskajk,0.0
5835,rGrcQ7fQ5l8,UCSJOrUYyB4Q4ykhiyvxMLeQ,Acá haciendo mi tarea porque mi profe me nos mando un link para hacer esta tarea,[0. 0. 0. ... 0. 0. 0.],haciendo tarea profe mando link hacer tarea,0.0
5836,rGrcQ7fQ5l8,UCfBYPLPd8ZTKLGqoRonUGqg,🇧🇷 Brasil,[0. 0. 0. ... 0. 0. 0.],brasil,0.0
5837,rGrcQ7fQ5l8,UCW3O73u44ShVpG3LfkIiQBA,"Me sirve, gracias por el video 👌🌱:⁠-⁠D",[0. 0. 0. ... 0. 0. 0.],sirv gracia video,0.0
5838,rGrcQ7fQ5l8,UCZVhwb7mi4GWboCf3enNNWw,E tú pido yo no quiero ver tuinfografia🤬😡😤🤮,[0. 0. 0. ... 0. 0. 0.],pido quiero tuinfografia,0.0
